PLAYER,SEASON,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Luke Kornet,2023,BOS,28,8,6,2,10.6,3.4,1.4,1.9,73.3,0,0,0,0.6,0.8,83.3,1.1,2.1,3.3,0.6,0.1,0.4,0.3,1,10,0,0,0.5
Stanley Umude,2023,DET,24,8,1,7,7.7,3.4,0.9,2,43.8,0.6,1.3,50,1,1.1,88.9,0,1.1,1.1,0.1,0.4,0.1,0.1,1.3,5.3,0,0,-1.8
Boban Marjanovic,2023,HOU,35,3,2,1,6.7,3.3,1.7,3,55.6,0,0.3,0,0,0.3,0,0.7,2,2.7,1,0,0,0.3,0.7,9,0,0,-1.7
Brandin Podziemski,2023,GSW,20,6,2,4,8.7,3.3,1.3,2.8,47.1,0.3,0.7,50,0.3,0.5,66.7,0.8,1.8,2.7,1.3,0.8,0.3,0,1.2,8.7,0,0,6.7
Collin Gillespie,2023,DEN,24,6,5,1,11.8,3.3,1.3,3,44.4,0.5,1.8,27.3,0.2,0.2,100,0,0.5,0.5,1.2,0.3,0.8,0,1.5,7.9,0,0,0.7
Jarace Walker,2023,IND,20,3,2,1,8.8,3.3,1.3,4,33.3,0,0.7,0,0.7,0.7,100,0.3,2,2.3,1.7,0,0.3,0.3,0.7,10.6,0,0,-1.3
Vasilije Micic,2023,OKC,29,3,1,2,10.8,3.3,1.3,3,44.4,0.7,1.7,40,0,0,0,0,0.3,0.3,2.3,1.3,0,0,0.7,5.9,0,0,-3
Zeke Nnaji,2023,DEN,22,10,8,2,10.8,3.3,1.3,2.6,50,0.1,0.5,20,0.6,1,60,0.8,1.6,2.4,0.5,0.4,0.2,0.5,1.1,8.6,0,0,-3.6
Dalano Banton,2023,BOS,24,4,4,0,6.9,3.3,1.3,2.3,55.6,0,0.5,0,0.8,0.8,100,0.8,0.8,1.5,0.5,0.3,0.3,0,0.8,6.3,0,0,-5.5
Luka Samanic,2023,UTA,23,4,0,4,4.1,3.3,1.3,2.5,50,0.5,1.3,40,0.3,0.3,100,0,1,1,0.3,0,0.3,0,0.3,5.6,0,0,1.5
AJ Griffin,2023,ATL,20,6,4,2,9.2,3.2,1.2,2.3,50,0.8,1.8,45.5,0,0,0,0.2,0.7,0.8,0.3,0.7,0.2,0,0.3,4.5,0,0,-7
Kenneth Lofton Jr.,2023,MEM,21,6,1,5,9,3.2,1.2,2.7,43.8,0.3,0.7,50,0.5,1.7,30,0.3,1.2,1.5,1.2,0.5,0.3,0.3,1.8,8.2,0,0,3.8
Max Christie,2023,LAL,20,6,2,4,17,3.2,1.2,4.3,26.9,0.2,1.7,10,0.7,0.8,80,0.3,3,3.3,0.7,0.7,0.3,0.2,1.5,9,0,0,-7.8
Robert Covington,2023,PHI,32,9,8,1,15.3,3.1,1,2.9,34.6,0.6,2.1,26.3,0.6,0.7,83.3,0.8,1.4,2.2,1,0.2,1.9,0.4,1.7,14.1,0,0,6.6
AJ Green,2023,MIL,24,4,1,3,9,3,1,2.5,40,0.8,2,37.5,0.3,0.3,100,0,1,1,1.5,0,0,0,1,6.5,0,0,7.3
Caleb Houstan,2023,ORL,20,4,2,2,6.3,3,1,2.3,44.4,0.8,2,37.5,0.3,0.3,100,0,0.8,0.8,0.3,0,0,0,0.3,4.3,0,0,2.3
Davis Bertans,2023,OKC,31,3,3,0,8.5,3,0.3,1.7,20,0.3,1.7,20,2,2,100,0,0.3,0.3,0.3,0,0.3,0,1,4.9,0,0,2.3
Emoni Bates,2023,CLE,19,3,1,2,10.1,3,1,3,33.3,0.7,2,33.3,0.3,0.7,50,0.3,1.7,2,0.3,0.3,0,0.3,0.3,6.6,0,0,-10
Lamar Stevens,2023,BOS,26,3,2,1,5.6,3,1.3,2.3,57.1,0.3,0.3,100,0,0,0,1.3,0.3,1.7,0.7,1,0.3,0,1,6,0,0,-1
Mike Muscala,2023,WAS,32,6,1,5,10.7,3,1,2.7,37.5,0.3,1.3,25,0.7,0.7,100,0.3,1.8,2.2,0.7,1,0.2,0.2,1.2,6.6,0,0,-7.8
Nate Hinton,2023,HOU,24,2,2,0,3.9,3,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0,-5.5
TyTy Washington Jr.,2023,MIL,21,1,0,1,3.2,3,1,2,50,1,1,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10
Furkan Korkmaz,2023,PHI,26,7,7,0,9.4,2.9,1,2.3,43.8,0.4,0.9,50,0.4,0.7,60,0.1,0.7,0.9,0.4,0.7,0.7,0,0.4,6,0,0,0.9
Kobe Brown,2023,LAC,23,6,3,3,8.7,2.8,1.2,2.3,50,0.5,1.3,37.5,0,0,0,0.3,1,1.3,0.3,0.2,0.2,0.2,1.3,5.8,0,0,2.3
Danuel House Jr.,2023,PHI,30,4,4,0,11.2,2.8,1,2,50,0.3,1,25,0.5,0.8,66.7,0.3,1,1.3,0.5,1,0.3,0.3,0.3,5.5,0,0,2.5
Jamal Cain,2023,MIA,24,3,1,2,9.9,2.7,1.3,3,44.4,0,1.3,0,0,0,0,1,1,2,0,0.3,1,0,0.7,7.7,0,0,-9.3
Nick Smith Jr.,2023,CHA,19,3,1,2,4.2,2.7,1,2.7,37.5,0.7,1.7,40,0,0,0,0,0.3,0.3,0.7,0.3,0.3,0,0,4.7,0,0,3.3
Omer Yurtseven,2023,UTA,25,6,1,5,5.2,2.7,1.2,1.7,70,0.2,0.5,33.3,0.2,0.3,50,0.5,1.3,1.8,0.5,0.2,0,0.2,1,6,0,0,1.8
Alex Len,2023,SAC,30,5,3,2,7.1,2.6,1,1.2,83.3,0,0.2,0,0.6,1.4,42.9,1.4,1.8,3.2,0.4,0.4,0.2,1,0.4,10.2,0,0,3.2
Jared Rhoden,2023,DET,24,5,0,5,5.9,2.6,1,1.8,55.6,0.2,0.8,25,0.4,0.4,100,0.2,0.6,0.8,0.6,0.4,0,0,0.8,4.1,0,0,3.2
Tristan Thompson,2023,CLE,32,7,3,4,9.8,2.6,1,1.4,70,0,0,0,0.6,1,57.1,1.1,1.7,2.9,0.7,0.9,0.1,0.4,1.1,7.9,0,0,-2.6
Joe Ingles,2023,ORL,36,9,5,4,18.8,2.6,0.8,3.4,22.6,0.6,2.3,23.8,0.4,0.6,80,0.6,2,2.6,3,0.8,0.9,0.1,1.4,12.3,0,0,5.2
Chris Livingston,2023,MIL,20,2,0,2,4.7,2.5,1,1,100,0.5,0.5,100,0,0,0,0,0,0,0.5,0,0,0,0,3.3,0,0,1
Jalen Pickett,2023,DEN,24,4,3,1,2.3,2.5,1,1.3,80,0.5,0.8,66.7,0,0,0,0,0.5,0.5,0,0,0,0,0.3,3.1,0,0,0.5
Jordan Miller,2023,LAC,23,2,2,0,3.4,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,-2.5
Leaky Black,2023,CHA,24,2,0,2,4.9,2.5,1,1.5,66.7,0.5,0.5,100,0,0,0,0,1,1,0.5,0,0,1,0.5,7.5,0,0,8.5
Blake Wesley,2023,SAS,20,3,0,3,5.9,2.3,1,2.7,37.5,0,0.3,0,0.3,0.7,50,0.3,0.3,0.7,1,0.3,0,0.3,0.7,5.3,0,0,-4.7
Cam Whitmore,2023,HOU,19,3,2,1,7.7,2.3,1,3,33.3,0,1,0,0.3,0.7,50,0,1,1,0.3,0.7,0.3,0,0.3,4.4,0,0,-8
Jordan Ford,2023,SAC,25,3,1,2,3.7,2.3,0.7,1.3,50,0.3,0.3,100,0.7,0.7,100,0,0.3,0.3,0.3,0,0,0,0,3.2,0,0,2.3
Patrick Beverley,2023,PHI,35,9,8,1,15.6,2.3,1,2.6,39.1,0.2,1.2,18.2,0.1,0.1,100,1.2,2,3.2,2.1,0.6,0.6,0.6,1.8,12.1,0,0,6.4
Oshae Brissett,2023,BOS,25,6,6,0,11.1,2.2,0.5,2.8,17.6,0.2,1.5,11.1,1,1.3,75,1,1.3,2.3,0.3,0.3,0.7,0,0.8,7.1,0,0,-1.3
Amari Bailey,2023,CHA,19,1,0,1,3.3,2,1,3,33.3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4.4,0,0,7
Caleb Martin,2023,MIA,28,1,1,0,19.5,2,1,7,14.3,0,3,0,0,0,0,1,2,3,1,0,1,0,1,10.1,0,0,-5
Colin Castleton,2023,LAL,23,2,0,2,9.3,2,1,2,50,0,0,0,0,0,0,1,0.5,1.5,1,0,0,0,2.5,5.3,0,0,-5.5
Daniel Theis,2023,IND,31,1,1,0,8.4,2,1,4,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Devonte' Graham,2023,SAS,28,1,0,1,12,2,0,2,0,0,1,0,2,2,100,1,0,1,1,0,2,1,0,13.7,0,0,-9
Dominick Barlow,2023,SAS,20,3,0,3,5.2,2,0.7,1.7,40,0,0,0,0.7,1.3,50,0,0.3,0.3,0,0,0,0,0.3,2.4,0,0,-3.7
Garrett Temple,2023,TOR,37,3,1,2,3,2,0.7,1,66.7,0,0,0,0.7,0.7,100,0,0.3,0.3,0,0,0.3,0,0,3.4,0,0,1
Jermaine Samuels Jr.,2023,HOU,25,3,2,1,6.6,2,0.7,1,66.7,0,0.3,0,0.7,0.7,100,0.3,0.7,1,0,0,0,0.3,1,4.2,0,0,-7.3
Jock Landale,2023,HOU,28,7,6,1,11,2,0.7,2.6,27.8,0.3,1.3,22.2,0.3,0.3,100,1.1,1.1,2.3,1,0.7,0.4,0.3,0.9,7.7,0,0,-0.3
Justin Holiday,2023,DEN,34,3,2,1,5.7,2,0.7,1.3,50,0.7,1.3,50,0,0,0,0,1.3,1.3,0,0,0,0,0.3,3.6,0,0,1.3
KJ Martin,2023,PHI,22,5,5,0,7.8,2,0.8,2.2,36.4,0.2,1,20,0.2,0.4,50,0.2,0.6,0.8,0.4,0.6,0.4,0.2,1,4.8,0,0,-3.4
Richaun Holmes,2023,DAL,30,2,1,1,5.4,2,1,1.5,66.7,0,0,0,0,0,0,1,1,2,0.5,0.5,0,0,1.5,4.7,0,0,-3.5
Robin Lopez,2023,MIL,35,1,0,1,5.6,2,0,0,0,0,0,0,2,2,100,0,0,0,1,1,0,0,0,2.5,0,0,10
Saben Lee,2023,PHX,24,3,2,1,3.5,2,1,2,50,0,0.3,0,0,0,0,0.7,0.3,1,1,0,0,0.3,0.3,5.7,0,0,-2
Sam Merrill,2023,CLE,27,3,1,2,7,2,0.7,2,33.3,0.7,1.7,40,0,0,0,0.3,0.7,1,1,0.3,0.7,0,0,6.4,0,0,-0.7
Seth Curry,2023,DAL,33,7,6,1,8.3,2,0.7,2.3,31.3,0.3,1.1,25,0.3,0.4,66.7,0.4,0.6,1,0.6,0.4,0.3,0.1,0.6,4.9,0,0,0.7
Thaddeus Young,2023,TOR,35,2,0,2,3.2,2,1,1.5,66.7,0,0,0,0,1,0,0.5,0.5,1,1.5,0,0,0,0,5.5,0,0,3.5
Troy Brown Jr.,2023,MIN,24,6,5,1,5.8,2,0.5,1.5,33.3,0,0.7,0,1,1,100,0.2,1.5,1.7,0.3,0.5,0.2,0,0.2,4.5,0,0,-1.5
Ty Jerome,2023,CLE,26,2,1,1,7.4,2,1,2,50,0,0.5,0,0,0,0,0.5,0,0.5,1.5,0.5,0,0,1,4.4,0,0,-7
Andre Jackson Jr.,2023,MIL,22,6,2,4,8.1,1.8,0.8,1.5,55.6,0.2,0.8,20,0,0,0,0.7,1.2,1.8,0.7,0.5,0.5,0,2,6,0,0,3.3
Julian Champagnie,2023,SAS,22,5,1,4,7.3,1.8,0.8,3.6,22.2,0.2,2,10,0,0,0,0,0.8,0.8,0,0.6,0.2,0.6,0,4.6,0,0,-6
Bryce McGowens,2023,CHA,21,4,1,3,14.1,1.8,0.5,1.8,28.6,0,1,0,0.8,1,75,0,1.8,1.8,0.5,0.8,0.5,0,1.3,5.4,0,0,-3.5
DaQuan Jeffries,2023,NYK,26,4,3,1,3.1,1.8,0.8,1.3,60,0.3,0.8,33.3,0,0,0,0,0.5,0.5,0.3,0.3,0,0,0.3,2.5,0,0,-1
Dalen Terry,2023,CHI,21,4,1,3,2.8,1.8,0.8,2,37.5,0.3,1,25,0,0.5,0,0,1,1,0.8,0.3,0,0,0.3,3.8,0,0,-1.5
P.J. Tucker,2023,LAC,38,8,2,6,17.3,1.8,0.5,1.8,28.6,0.4,1.4,27.3,0.4,0.4,100,1.4,2.3,3.6,0.5,0.3,0.8,0.4,2.5,10,0,0,-0.3
Olivier-Maxence Prosper,2023,DAL,21,3,2,1,4.1,1.7,0.3,1.7,20,0,0.7,0,1,1.3,75,0.3,0,0.3,0,0,0,0,1,2.1,0,0,-7.3
Sandro Mamukelashvili,2023,SAS,24,3,0,3,6.3,1.7,0.7,1.7,40,0,1,0,0.3,0.7,50,1.3,1,2.3,0.3,0,0.3,0,0.7,6,0,0,-6.3
Jaxson Hayes,2023,LAL,23,8,5,3,8.3,1.6,0.6,1.4,45.5,0,0,0,0.4,0.8,50,0.3,1.1,1.4,0.4,0.8,0.1,0.3,1.9,4.2,0,0,-3
Amir Coffey,2023,LAC,26,5,3,2,7.4,1.6,0.4,1.6,25,0,0.4,0,0.8,0.8,100,0,0.6,0.6,0.4,0.4,0,0,0.4,2.5,0,0,1.8
Josh Minott,2023,MIN,20,5,4,1,2.7,1.6,0.6,1.2,50,0,0.4,0,0.4,0.6,66.7,0,0,0,0.2,0,0,0.2,0.4,2.5,0,0,-0.4
Svi Mykhailiuk,2023,BOS,26,5,4,1,6.6,1.6,0.6,2.2,27.3,0.4,1.8,22.2,0,0,0,0,0.8,0.8,0.2,0.6,0.2,0,0.2,2.9,0,0,0.8
Miles McBride,2023,NYK,23,7,3,4,3.7,1.6,0.6,1.6,36.4,0.3,1.3,22.2,0.1,0.3,50,0,0.3,0.3,0.3,0,0.4,0,0.3,3.6,0,0,-1.9
D'Moi Hodge,2023,LAL,24,2,0,2,7.3,1.5,0.5,2.5,20,0,2,0,0.5,1,50,0,0,0,0.5,0.5,0,0.5,1,3.3,0,0,-3.5
Jared Butler,2023,WAS,23,2,0,2,4.5,1.5,0.5,2,25,0.5,1.5,33.3,0,0,0,0,0,0,0.5,0.5,0,0,0,1.8,0,0,3
Marcus Morris Sr.,2023,PHI,34,2,2,0,6.2,1.5,0.5,1,50,0,0,0,0.5,0.5,100,0,1,1,0,0,0,0.5,1,4.2,0,0,-1.5
Olivier Sarr,2023,OKC,24,4,2,2,11,1.5,0.3,0.3,100,0,0,0,1,1.5,66.7,0.8,3.8,4.5,0.3,0.5,0,1.3,1.5,10.5,0,0,2.3
E.J. Liddell,2023,NOP,22,3,1,2,2.9,1.3,0.3,1.3,25,0,1,0,0.7,0.7,100,0,0.7,0.7,0,0.3,0,0.3,0.3,2.8,0,0,-1.7
Ish Smith,2023,CHA,35,3,0,3,10.3,1.3,0.7,1.3,50,0,0,0,0,0,0,0.3,1.7,2,0.7,1,1,0,1.3,6.7,0,0,-7
Jaden Springer,2023,PHI,21,6,5,1,8.1,1.3,0.5,2.3,21.4,0,0.5,0,0.3,0.7,50,0.7,0.7,1.3,0.8,0.7,0.2,0.7,1.5,6,0,0,-1.8
Reggie Bullock Jr.,2023,HOU,32,5,2,3,10.4,1.2,0.4,1.6,25,0.4,1.4,28.6,0,0,0,0,1.4,1.4,0.6,0.4,0.2,0.2,0.8,4.6,0,0,-4.6
Damian Jones,2023,CLE,28,6,3,3,5.7,1.2,0.5,0.5,100,0,0,0,0.2,0.3,50,0.3,0.8,1.2,0.3,0.3,0,0.2,0.5,3.2,0,0,-1.5
Cody Zeller,2023,NOP,31,7,2,5,6.8,1.1,0.3,1.3,22.2,0,0,0,0.6,1.1,50,0.9,1.6,2.4,1.1,0.1,0.1,0,0.7,6.1,0,0,0.1
Chimezie Metu,2023,PHX,26,4,2,2,2.5,1,0.3,1,25,0,0.5,0,0.5,0.5,100,0,0.5,0.5,0.3,0.3,0,0.3,0,2.5,0,0,-1.3
DeAndre Jordan,2023,DEN,35,1,1,0,12.3,1,0,0,0,0,0,0,1,2,50,1,0,1,1,1,0,0,2,2.7,0,0,-10
Dylan Windler,2023,NYK,27,3,2,1,2.5,1,0.3,0.7,50,0.3,0.7,50,0,0,0,0,0.3,0.3,0.3,0,0,0,0.3,1.9,0,0,2.7
Jordan McLaughlin,2023,MIN,27,5,4,1,3.8,1,0.2,0.8,25,0.2,0.4,50,0.4,0.4,100,0,0,0,1,0,0,0.4,0.4,3.7,0,0,2
Taylor Hendricks,2023,UTA,19,1,0,1,2.4,1,0,0,0,0,0,0,1,2,50,0,1,1,0,0,0,0,0,2.2,0,0,2
Udoka Azubuike,2023,PHX,24,2,2,0,4.3,1,0.5,0.5,100,0,0,0,0,0,0,0,2,2,0,0,0,0,0.5,3.4,0,0,-4.5
Cory Joseph,2023,GSW,32,4,1,3,3.3,0.8,0.3,0.8,33.3,0.3,0.8,33.3,0,0,0,0.3,0.3,0.5,0.8,0.5,0.3,0,0.8,2.7,0,0,-0.8
Bol Bol,2023,PHX,23,3,3,0,2.2,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0.7,0,0.3,0,1.4,0,0,-3
Daishen Nix,2023,MIN,21,3,2,1,2.4,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1.7,0,0,1.3
Jett Howard,2023,ORL,20,3,2,1,3.9,0.7,0.3,1.3,25,0,0.7,0,0,0,0,0.3,0.3,0.7,0.3,0,0,0,0,2,0,0,3.7
Kessler Edwards,2023,SAC,23,6,4,2,5.7,0.7,0.2,1,16.7,0.2,0.7,25,0.2,0.3,50,0,0.8,0.8,0.5,0.2,0.2,0.2,0.8,3.3,0,0,1.3
Terry Taylor,2023,CHI,24,3,1,2,2.1,0.7,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,1.1,0,0,-2.3
Thanasis Antetokounmpo,2023,MIL,31,3,0,3,7,0.7,0.3,0.7,50,0,0,0,0,0,0,0,0,0,1.3,1.3,0.3,0.3,1.3,3.3,0,0,8
Jalen McDaniels,2023,TOR,25,8,3,5,8.7,0.6,0.3,2.1,11.8,0.1,1.4,9.1,0,0,0,0.1,0.9,1,0.5,0.1,0.3,0.1,0.8,3.6,0,0,-5.1
Jericho Sims,2023,NYK,25,5,3,2,3.3,0.6,0.2,0.4,50,0,0,0,0.2,0.6,33.3,0.2,1.4,1.6,0.2,0,0,0,0.2,2.8,0,0,0.4
Braxton Key,2023,DEN,26,4,3,1,2.6,0.5,0.3,1,25,0,0.3,0,0,0,0,0,0.3,0.3,0.8,0,0,0,0.5,1.9,0,0,0.8
Chuma Okeke,2023,ORL,25,4,2,2,3.4,0.5,0.3,1,25,0,0.8,0,0,0,0,0.8,0.8,1.5,0.3,0.3,0,0,0,2.4,0,0,2.5
Hunter Tyson,2023,DEN,23,4,3,1,2.7,0.5,0.3,0.8,33.3,0,0.5,0,0,0,0,0,0.8,0.8,0,0,0,0,1,1.4,0,0,0
Kobe Bufkin,2023,ATL,20,2,2,0,2.2,0.5,0,1.5,0,0,0.5,0,0.5,1,50,0.5,0.5,1,0,0,0,0,0,1.7,0,0,-7
Mo Bamba,2023,PHI,25,4,4,0,2.3,0.5,0,0.5,0,0,0,0,0.5,0.5,100,0.5,1,1.5,0,0.8,0,0.5,0.8,3.1,0,0,-3.3
Aleksej Pokusevski,2023,OKC,21,3,2,1,6,0.3,0,1.3,0,0,1.3,0,0.3,0.7,50,0,1,1,0,1,0,0.3,1,1.5,0,0,-6.3
Alex Fudge,2023,LAL,20,1,0,1,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Brice Sensabaugh,2023,UTA,20,1,0,1,2.4,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,0,0,2
Bruno Fernando,2023,ATL,25,3,3,0,2.4,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0.7,0,0,0.7,-0.7,0,0,-1.3
Danny Green,2023,PHI,36,2,1,1,9.2,0,0,1,0,0,0.5,0,0,0,0,0,1,1,0.5,0,0.5,0,0.5,3.5,0,0,0
Filip Petrusev,2023,SAC,23,1,1,0,2.7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,3
GG Jackson,2023,MEM,18,1,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrison Mathews,2023,ATL,27,2,1,1,3.9,0,0,1,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.6,0,0,-5.5
Isaiah Mobley,2023,CLE,24,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-3
Jalen Wilson,2023,BKN,23,2,1,1,3.3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,2.1,0,0,-1
Jerome Robinson,2023,GSW,26,1,1,0,4.7,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2.4,0,0,0
Julian Phillips,2023,CHI,20,4,1,3,2.5,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.3,0,0,-1.5
Justin Minaya,2023,POR,24,1,0,1,7.6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,1.4,0,0,-4
Kaiser Gates,2023,NOP,27,1,0,1,7.4,0,0,4,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-2
Keyontae Johnson,2023,OKC,23,1,0,1,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Kris Murray,2023,POR,23,4,0,4,5.8,0,0,0.5,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0.3,0.3,0.8,1.8,0,0,0.8
Leonard Miller,2023,MIN,19,1,1,0,1.9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-7
Lindy Waters III,2023,OKC,26,4,2,2,5.9,0,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0.5,0,0,0,0.3,0.8,0,0,2
Malcolm Cazalon,2023,DET,22,1,0,1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Markieff Morris,2023,DAL,34,1,1,0,3.8,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,-8
Maxwell Lewis,2023,LAL,21,3,0,3,4.4,0,0,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0,0.1,0,0,-2.7
Mouhamed Gueye,2023,ATL,21,2,2,0,2.2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1.5,0,0,-6.5
Onuralp Bitim,2023,CHI,24,1,0,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Patrick Baldwin Jr.,2023,WAS,20,2,0,2,4.5,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.8,0,0,3
R.J. Hampton,2023,MIA,22,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Rayan Rupert,2023,POR,19,2,0,2,3.2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Ryan Arcidiacono,2023,NYK,29,3,3,0,2.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0.4,0,0,-1.7
Trent Forrest,2023,ATL,25,1,1,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.5,0,0,-7